
{'loss': 3.0321, 'grad_norm': 4.194638336789604, 'learning_rate': 0.0, 'epoch': 0.02}
{'loss': 1.179, 'grad_norm': 0.8796966052727058, 'learning_rate': 9.310344827586207e-05, 'epoch': 1.18}
{'loss': 1.4577, 'grad_norm': 0.8849765153266442, 'learning_rate': 9.291187739463601e-05, 'epoch': 1.2}
{'loss': 1.3943, 'grad_norm': 1.1899896965165149, 'learning_rate': 9.272030651340997e-05, 'epoch': 1.22}
{'loss': 1.4701, 'grad_norm': 0.9769861473150623, 'learning_rate': 9.252873563218392e-05, 'epoch': 1.23}
{'loss': 1.281, 'grad_norm': 0.8552219149727714, 'learning_rate': 9.233716475095786e-05, 'epoch': 1.25}
{'loss': 1.2596, 'grad_norm': 0.9354406106565133, 'learning_rate': 9.21455938697318e-05, 'epoch': 1.27}
{'loss': 1.4036, 'grad_norm': 0.8070932611892093, 'learning_rate': 9.195402298850575e-05, 'epoch': 1.29}
{'loss': 1.2963, 'grad_norm': 0.7414019788793961, 'learning_rate': 9.17624521072797e-05, 'epoch': 1.31}
{'loss': 1.4698, 'grad_norm': 0.9022549887341875, 'learning_rate': 9.157088122605364e-05, 'epoch': 1.32}
{'loss': 1.7522, 'grad_norm': 0.8387872252123324, 'learning_rate': 9.137931034482759e-05, 'epoch': 1.34}
{'loss': 1.4738, 'grad_norm': 0.8475642052969892, 'learning_rate': 9.118773946360154e-05, 'epoch': 1.36}
{'loss': 1.1937, 'grad_norm': 0.9861344767041162, 'learning_rate': 9.099616858237548e-05, 'epoch': 1.38}
{'loss': 1.3954, 'grad_norm': 0.7496858397345743, 'learning_rate': 9.080459770114943e-05, 'epoch': 1.4}
{'loss': 1.1836, 'grad_norm': 0.7733981887931938, 'learning_rate': 9.061302681992338e-05, 'epoch': 1.41}
{'loss': 1.3064, 'grad_norm': 0.9350225739347495, 'learning_rate': 9.042145593869731e-05, 'epoch': 1.43}
{'loss': 1.3846, 'grad_norm': 0.9101833019279377, 'learning_rate': 9.022988505747126e-05, 'epoch': 1.45}
{'loss': 1.2752, 'grad_norm': 0.7057605414232445, 'learning_rate': 9.003831417624522e-05, 'epoch': 1.47}
{'loss': 1.1798, 'grad_norm': 0.8974294642912166, 'learning_rate': 8.984674329501917e-05, 'epoch': 1.49}
{'loss': 1.409, 'grad_norm': 0.8550913112675537, 'learning_rate': 8.96551724137931e-05, 'epoch': 1.51}
{'loss': 1.3162, 'grad_norm': 0.7790078461981526, 'learning_rate': 8.946360153256705e-05, 'epoch': 1.52}
{'loss': 1.7492, 'grad_norm': 0.8769059690969354, 'learning_rate': 8.9272030651341e-05, 'epoch': 1.54}
{'loss': 1.2366, 'grad_norm': 0.8200066739195371, 'learning_rate': 8.908045977011495e-05, 'epoch': 1.56}
{'loss': 1.1638, 'grad_norm': 0.8864521233868548, 'learning_rate': 8.888888888888889e-05, 'epoch': 1.58}
{'loss': 1.1511, 'grad_norm': 0.9074056312527232, 'learning_rate': 8.869731800766284e-05, 'epoch': 1.6}
{'loss': 1.3278, 'grad_norm': 0.8621710809475531, 'learning_rate': 8.850574712643679e-05, 'epoch': 1.61}
{'loss': 1.1018, 'grad_norm': 0.8758707799395985, 'learning_rate': 8.831417624521074e-05, 'epoch': 1.63}
{'loss': 1.4708, 'grad_norm': 0.9752856840213668, 'learning_rate': 8.812260536398468e-05, 'epoch': 1.65}
{'loss': 1.5063, 'grad_norm': 0.9049810726292861, 'learning_rate': 8.793103448275862e-05, 'epoch': 1.67}
{'loss': 1.6057, 'grad_norm': 1.0898819302485379, 'learning_rate': 8.773946360153256e-05, 'epoch': 1.69}
{'loss': 1.3437, 'grad_norm': 0.8697229119910946, 'learning_rate': 8.754789272030651e-05, 'epoch': 1.71}
{'loss': 1.3769, 'grad_norm': 0.8462329430671547, 'learning_rate': 8.735632183908047e-05, 'epoch': 1.72}
{'loss': 1.3131, 'grad_norm': 0.7517256250141117, 'learning_rate': 8.716475095785441e-05, 'epoch': 1.74}
{'loss': 1.6496, 'grad_norm': 0.8660557212112738, 'learning_rate': 8.697318007662835e-05, 'epoch': 1.76}
{'loss': 1.4642, 'grad_norm': 0.9104333143498818, 'learning_rate': 8.67816091954023e-05, 'epoch': 1.78}
{'loss': 1.2406, 'grad_norm': 1.151007024155685, 'learning_rate': 8.659003831417625e-05, 'epoch': 1.8}
{'loss': 1.2601, 'grad_norm': 0.8831785918761142, 'learning_rate': 8.63984674329502e-05, 'epoch': 1.81}
{'loss': 1.5821, 'grad_norm': 0.9881114647147382, 'learning_rate': 8.620689655172413e-05, 'epoch': 1.83}
{'loss': 1.5434, 'grad_norm': 0.8840451917415487, 'learning_rate': 8.601532567049809e-05, 'epoch': 1.85}
{'loss': 1.2633, 'grad_norm': 0.8235786476388968, 'learning_rate': 8.582375478927204e-05, 'epoch': 1.87}
{'loss': 1.4493, 'grad_norm': 1.0550946176868885, 'learning_rate': 8.563218390804599e-05, 'epoch': 1.89}
{'loss': 1.2701, 'grad_norm': 0.8102249077131894, 'learning_rate': 8.544061302681992e-05, 'epoch': 1.9}
{'loss': 1.2768, 'grad_norm': 0.7850589426237868, 'learning_rate': 8.524904214559387e-05, 'epoch': 1.92}
{'loss': 1.3441, 'grad_norm': 1.105209765389901, 'learning_rate': 8.505747126436782e-05, 'epoch': 1.94}
{'loss': 1.3747, 'grad_norm': 1.1534662691319562, 'learning_rate': 8.486590038314178e-05, 'epoch': 1.96}
{'loss': 1.3383, 'grad_norm': 1.0207568401078186, 'learning_rate': 8.467432950191571e-05, 'epoch': 1.98}
{'loss': 1.3742, 'grad_norm': 0.9741425029660903, 'learning_rate': 8.448275862068966e-05, 'epoch': 2.0}
{'loss': 2.2003, 'grad_norm': 2.303123674296283, 'learning_rate': 8.42911877394636e-05, 'epoch': 2.01}
{'loss': 1.2108, 'grad_norm': 1.4405225119004734, 'learning_rate': 8.409961685823755e-05, 'epoch': 2.03}
{'loss': 1.4663, 'grad_norm': 1.0003310445526825, 'learning_rate': 8.39080459770115e-05, 'epoch': 2.05}
{'loss': 1.0177, 'grad_norm': 0.8803579741550986, 'learning_rate': 8.371647509578544e-05, 'epoch': 2.07}
{'loss': 1.3897, 'grad_norm': 0.893572862314075, 'learning_rate': 8.35249042145594e-05, 'epoch': 2.09}
{'loss': 1.3298, 'grad_norm': 0.9494854135931554, 'learning_rate': 8.333333333333334e-05, 'epoch': 2.1}
{'loss': 1.0527, 'grad_norm': 0.9790609291441215, 'learning_rate': 8.314176245210729e-05, 'epoch': 2.12}
{'loss': 1.2809, 'grad_norm': 0.9571774902940742, 'learning_rate': 8.295019157088123e-05, 'epoch': 2.14}
{'loss': 1.0514, 'grad_norm': 0.8621426011098617, 'learning_rate': 8.275862068965517e-05, 'epoch': 2.16}
{'loss': 1.2922, 'grad_norm': 0.9018059795027402, 'learning_rate': 8.256704980842912e-05, 'epoch': 2.18}
{'loss': 1.1812, 'grad_norm': 0.9190048252820551, 'learning_rate': 8.237547892720307e-05, 'epoch': 2.2}
{'loss': 1.2151, 'grad_norm': 1.1256759347140572, 'learning_rate': 8.218390804597702e-05, 'epoch': 2.21}
{'loss': 1.2689, 'grad_norm': 1.1794202642881757, 'learning_rate': 8.199233716475096e-05, 'epoch': 2.23}
{'loss': 1.3684, 'grad_norm': 1.2069764550505866, 'learning_rate': 8.180076628352491e-05, 'epoch': 2.25}
{'loss': 1.2141, 'grad_norm': 0.9925866783931848, 'learning_rate': 8.160919540229886e-05, 'epoch': 2.27}
{'loss': 1.3955, 'grad_norm': 1.1076539944611719, 'learning_rate': 8.14176245210728e-05, 'epoch': 2.29}
{'loss': 1.1022, 'grad_norm': 1.084384387373098, 'learning_rate': 8.122605363984674e-05, 'epoch': 2.3}
{'loss': 1.1308, 'grad_norm': 1.4433294765322304, 'learning_rate': 8.103448275862069e-05, 'epoch': 2.32}
{'loss': 1.2073, 'grad_norm': 1.285701270058265, 'learning_rate': 8.084291187739465e-05, 'epoch': 2.34}
{'loss': 1.1725, 'grad_norm': 1.0522706646745945, 'learning_rate': 8.06513409961686e-05, 'epoch': 2.36}
{'loss': 1.2269, 'grad_norm': 1.042650151746676, 'learning_rate': 8.045977011494253e-05, 'epoch': 2.38}
{'loss': 1.2315, 'grad_norm': 1.5736600487939554, 'learning_rate': 8.026819923371648e-05, 'epoch': 2.39}
{'loss': 1.144, 'grad_norm': 1.3933679338150335, 'learning_rate': 8.007662835249042e-05, 'epoch': 2.41}
{'loss': 1.1245, 'grad_norm': 1.1547680923896961, 'learning_rate': 7.988505747126437e-05, 'epoch': 2.43}
{'loss': 1.2456, 'grad_norm': 1.105539100562245, 'learning_rate': 7.969348659003832e-05, 'epoch': 2.45}
{'loss': 1.1532, 'grad_norm': 1.2409876784270608, 'learning_rate': 7.950191570881227e-05, 'epoch': 2.47}
{'loss': 1.4174, 'grad_norm': 1.1700611926411923, 'learning_rate': 7.931034482758621e-05, 'epoch': 2.49}
{'loss': 1.3569, 'grad_norm': 1.2399515326381774, 'learning_rate': 7.911877394636016e-05, 'epoch': 2.5}
{'loss': 1.2733, 'grad_norm': 1.3146760653260148, 'learning_rate': 7.892720306513411e-05, 'epoch': 2.52}
{'loss': 1.0887, 'grad_norm': 1.0945794844839807, 'learning_rate': 7.873563218390804e-05, 'epoch': 2.54}
{'loss': 1.1025, 'grad_norm': 1.1205814160684362, 'learning_rate': 7.854406130268199e-05, 'epoch': 2.56}
{'loss': 1.2538, 'grad_norm': 1.1574117086435258, 'learning_rate': 7.835249042145594e-05, 'epoch': 2.58}
{'loss': 1.3217, 'grad_norm': 1.151113062419213, 'learning_rate': 7.81609195402299e-05, 'epoch': 2.59}
{'loss': 1.2886, 'grad_norm': 1.2981181138334166, 'learning_rate': 7.796934865900383e-05, 'epoch': 2.61}
{'loss': 1.3764, 'grad_norm': 1.2211680304552597, 'learning_rate': 7.777777777777778e-05, 'epoch': 2.63}
{'loss': 1.2326, 'grad_norm': 1.1007613264431018, 'learning_rate': 7.758620689655173e-05, 'epoch': 2.65}
{'loss': 1.1033, 'grad_norm': 1.1261222628564425, 'learning_rate': 7.739463601532568e-05, 'epoch': 2.67}
{'loss': 1.292, 'grad_norm': 1.1781057611475219, 'learning_rate': 7.720306513409961e-05, 'epoch': 2.68}
{'loss': 1.2544, 'grad_norm': 1.1144702558035364, 'learning_rate': 7.701149425287356e-05, 'epoch': 2.7}
{'loss': 1.1763, 'grad_norm': 1.0174181753739764, 'learning_rate': 7.681992337164752e-05, 'epoch': 2.72}
{'loss': 1.446, 'grad_norm': 1.1979057897460161, 'learning_rate': 7.662835249042147e-05, 'epoch': 2.74}
{'loss': 1.2089, 'grad_norm': 1.1519427390455255, 'learning_rate': 7.64367816091954e-05, 'epoch': 2.76}
{'loss': 1.385, 'grad_norm': 1.1190669961563156, 'learning_rate': 7.624521072796935e-05, 'epoch': 2.78}
{'loss': 1.2109, 'grad_norm': 1.1662472229180918, 'learning_rate': 7.60536398467433e-05, 'epoch': 2.79}
{'loss': 1.1509, 'grad_norm': 1.3192127242685565, 'learning_rate': 7.586206896551724e-05, 'epoch': 2.81}
{'loss': 1.3051, 'grad_norm': 1.083910303370453, 'learning_rate': 7.567049808429119e-05, 'epoch': 2.83}
{'loss': 1.3721, 'grad_norm': 1.2140150891690848, 'learning_rate': 7.547892720306514e-05, 'epoch': 2.85}
{'loss': 1.1474, 'grad_norm': 1.1532523401011279, 'learning_rate': 7.528735632183909e-05, 'epoch': 2.87}
{'loss': 1.0668, 'grad_norm': 1.1641721045431441, 'learning_rate': 7.509578544061303e-05, 'epoch': 2.88}
{'loss': 1.3409, 'grad_norm': 1.1621588838017023, 'learning_rate': 7.490421455938698e-05, 'epoch': 2.9}
{'loss': 1.225, 'grad_norm': 1.3690497477055736, 'learning_rate': 7.471264367816091e-05, 'epoch': 2.92}
{'loss': 1.3289, 'grad_norm': 1.1397715948655958, 'learning_rate': 7.452107279693486e-05, 'epoch': 2.94}
{'loss': 1.1473, 'grad_norm': 1.0649301303784982, 'learning_rate': 7.432950191570882e-05, 'epoch': 2.96}
{'loss': 1.2017, 'grad_norm': 1.2062635748320443, 'learning_rate': 7.413793103448277e-05, 'epoch': 2.98}
{'loss': 1.2188, 'grad_norm': 1.1308026433863543, 'learning_rate': 7.39463601532567e-05, 'epoch': 2.99}
{'loss': 2.1252, 'grad_norm': 3.8638373242966617, 'learning_rate': 7.375478927203065e-05, 'epoch': 3.01}
{'loss': 1.1444, 'grad_norm': 1.1333333471709182, 'learning_rate': 7.35632183908046e-05, 'epoch': 3.03}
{'loss': 1.1354, 'grad_norm': 1.1297851901296379, 'learning_rate': 7.337164750957855e-05, 'epoch': 3.05}
{'loss': 1.1485, 'grad_norm': 1.1168896496836134, 'learning_rate': 7.31800766283525e-05, 'epoch': 3.07}
{'loss': 1.3767, 'grad_norm': 1.4819843366754109, 'learning_rate': 7.298850574712644e-05, 'epoch': 3.08}
{'loss': 1.0758, 'grad_norm': 1.2055838534209107, 'learning_rate': 7.279693486590039e-05, 'epoch': 3.1}
{'loss': 1.0517, 'grad_norm': 1.184759156721388, 'learning_rate': 7.260536398467434e-05, 'epoch': 3.12}
{'loss': 1.1541, 'grad_norm': 1.125024243298597, 'learning_rate': 7.241379310344828e-05, 'epoch': 3.14}
{'loss': 0.9516, 'grad_norm': 1.3199270556051348, 'learning_rate': 7.222222222222222e-05, 'epoch': 3.16}
{'loss': 1.0627, 'grad_norm': 1.3287374075069556, 'learning_rate': 7.203065134099617e-05, 'epoch': 3.17}
{'loss': 1.1176, 'grad_norm': 1.3735219450774148, 'learning_rate': 7.183908045977011e-05, 'epoch': 3.19}
{'loss': 1.0846, 'grad_norm': 1.2475531931885426, 'learning_rate': 7.164750957854408e-05, 'epoch': 3.21}
{'loss': 1.2572, 'grad_norm': 1.3785786413450685, 'learning_rate': 7.145593869731801e-05, 'epoch': 3.23}
{'loss': 0.9709, 'grad_norm': 1.4374019638232547, 'learning_rate': 7.126436781609196e-05, 'epoch': 3.25}
{'loss': 1.0481, 'grad_norm': 1.3177417063410393, 'learning_rate': 7.10727969348659e-05, 'epoch': 3.27}
{'loss': 1.0981, 'grad_norm': 1.4338456427594732, 'learning_rate': 7.088122605363985e-05, 'epoch': 3.28}
{'loss': 1.2649, 'grad_norm': 1.3108359162573162, 'learning_rate': 7.06896551724138e-05, 'epoch': 3.3}
{'loss': 1.0346, 'grad_norm': 1.2574062481665345, 'learning_rate': 7.049808429118773e-05, 'epoch': 3.32}
{'loss': 1.1409, 'grad_norm': 1.2997351571175864, 'learning_rate': 7.03065134099617e-05, 'epoch': 3.34}
{'loss': 1.13, 'grad_norm': 1.343828262659062, 'learning_rate': 7.011494252873564e-05, 'epoch': 3.36}
{'loss': 1.2328, 'grad_norm': 1.4190488004126802, 'learning_rate': 6.992337164750959e-05, 'epoch': 3.37}
{'loss': 1.1506, 'grad_norm': 1.3945564544703066, 'learning_rate': 6.973180076628352e-05, 'epoch': 3.39}
{'loss': 0.9656, 'grad_norm': 1.309363638643305, 'learning_rate': 6.954022988505747e-05, 'epoch': 3.41}
{'loss': 1.3173, 'grad_norm': 1.4484595459683185, 'learning_rate': 6.934865900383142e-05, 'epoch': 3.43}
{'loss': 0.8076, 'grad_norm': 1.4637272423305223, 'learning_rate': 6.915708812260537e-05, 'epoch': 3.45}
{'loss': 1.097, 'grad_norm': 1.2976187778590647, 'learning_rate': 6.896551724137931e-05, 'epoch': 3.46}
{'loss': 1.1104, 'grad_norm': 1.4641165921036958, 'learning_rate': 6.877394636015326e-05, 'epoch': 3.48}
{'loss': 0.9063, 'grad_norm': 1.333088587452437, 'learning_rate': 6.858237547892721e-05, 'epoch': 3.5}
{'loss': 1.0159, 'grad_norm': 1.3643387641124298, 'learning_rate': 6.839080459770116e-05, 'epoch': 3.52}
{'loss': 1.3618, 'grad_norm': 1.5293723445195155, 'learning_rate': 6.81992337164751e-05, 'epoch': 3.54}
{'loss': 1.0309, 'grad_norm': 1.5308370569624035, 'learning_rate': 6.800766283524904e-05, 'epoch': 3.56}
{'loss': 1.1039, 'grad_norm': 1.427251714250401, 'learning_rate': 6.781609195402298e-05, 'epoch': 3.57}
{'loss': 1.1696, 'grad_norm': 1.3817479719243846, 'learning_rate': 6.762452107279695e-05, 'epoch': 3.59}
{'loss': 0.9366, 'grad_norm': 1.2978604090169101, 'learning_rate': 6.74329501915709e-05, 'epoch': 3.61}
{'loss': 1.1504, 'grad_norm': 1.46212938531349, 'learning_rate': 6.724137931034483e-05, 'epoch': 3.63}
{'loss': 0.8498, 'grad_norm': 1.3285183222111492, 'learning_rate': 6.704980842911877e-05, 'epoch': 3.65}
{'loss': 1.126, 'grad_norm': 1.3835276839237192, 'learning_rate': 6.685823754789272e-05, 'epoch': 3.66}
{'loss': 1.0646, 'grad_norm': 1.387666669403375, 'learning_rate': 6.666666666666667e-05, 'epoch': 3.68}
{'loss': 1.1409, 'grad_norm': 1.3304827922129474, 'learning_rate': 6.647509578544062e-05, 'epoch': 3.7}
{'loss': 1.0093, 'grad_norm': 1.3373212301393191, 'learning_rate': 6.628352490421456e-05, 'epoch': 3.72}
{'loss': 1.1099, 'grad_norm': 1.4221399165478825, 'learning_rate': 6.609195402298851e-05, 'epoch': 3.74}
{'loss': 1.0503, 'grad_norm': 1.433741734419864, 'learning_rate': 6.590038314176246e-05, 'epoch': 3.76}
{'loss': 1.1254, 'grad_norm': 1.4362811929457462, 'learning_rate': 6.570881226053641e-05, 'epoch': 3.77}
{'loss': 1.1902, 'grad_norm': 1.560134285008907, 'learning_rate': 6.551724137931034e-05, 'epoch': 3.79}
{'loss': 1.2834, 'grad_norm': 1.616597719773344, 'learning_rate': 6.532567049808429e-05, 'epoch': 3.81}
{'loss': 1.1738, 'grad_norm': 1.5399257038223486, 'learning_rate': 6.513409961685824e-05, 'epoch': 3.83}
{'loss': 1.0147, 'grad_norm': 1.4451776282674291, 'learning_rate': 6.49425287356322e-05, 'epoch': 3.85}
{'loss': 1.1141, 'grad_norm': 1.4538158995562838, 'learning_rate': 6.475095785440613e-05, 'epoch': 3.86}
{'loss': 1.3266, 'grad_norm': 1.6095159038936635, 'learning_rate': 6.455938697318008e-05, 'epoch': 3.88}
{'loss': 1.2007, 'grad_norm': 1.4471328399990129, 'learning_rate': 6.436781609195403e-05, 'epoch': 3.9}
{'loss': 1.082, 'grad_norm': 1.6161861193593272, 'learning_rate': 6.417624521072797e-05, 'epoch': 3.92}
{'loss': 1.1418, 'grad_norm': 1.4939452311819739, 'learning_rate': 6.398467432950191e-05, 'epoch': 3.94}
{'loss': 1.0896, 'grad_norm': 1.4908548245118514, 'learning_rate': 6.379310344827587e-05, 'epoch': 3.95}
{'loss': 1.228, 'grad_norm': 1.8111460008769054, 'learning_rate': 6.360153256704982e-05, 'epoch': 3.97}
{'loss': 1.0394, 'grad_norm': 1.3510843198096718, 'learning_rate': 6.340996168582376e-05, 'epoch': 3.99}
{'loss': 2.0729, 'grad_norm': 4.546132900559364, 'learning_rate': 6.32183908045977e-05, 'epoch': 4.01}
{'loss': 1.0973, 'grad_norm': 1.4581312624686231, 'learning_rate': 6.302681992337165e-05, 'epoch': 4.03}
{'loss': 1.1263, 'grad_norm': 1.3335750335990526, 'learning_rate': 6.283524904214559e-05, 'epoch': 4.05}                                                                                                                                                                             
{'loss': 1.0302, 'grad_norm': 1.504655640527901, 'learning_rate': 6.264367816091954e-05, 'epoch': 4.06}                                                                                                                                                                              
{'loss': 0.8604, 'grad_norm': 1.3360595960349857, 'learning_rate': 6.226053639846744e-05, 'epoch': 4.1}                                                                                                                                                                              
{'loss': 1.0589, 'grad_norm': 1.6844537555702468, 'learning_rate': 6.206896551724138e-05, 'epoch': 4.12}                                                                                                                                                                             
{'loss': 0.884, 'grad_norm': 1.6030375401276988, 'learning_rate': 6.187739463601533e-05, 'epoch': 4.14}                                                                                                                                                                              
{'loss': 0.9859, 'grad_norm': 1.4947518948566538, 'learning_rate': 6.168582375478928e-05, 'epoch': 4.15}                                                                                                                                                                             
{'loss': 0.9025, 'grad_norm': 1.9420364336551326, 'learning_rate': 6.149425287356321e-05, 'epoch': 4.17}                                                                                                                                                                             
